"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.489324800E-2,-5.448099971E-2,-8.172199875E-2,5.448099971E-2,1.123158214E-1
4.988578600E-2,-6.810099632E-2,-6.810099632E-2,8.172199875E-2,1.263090515E-1
5.486894000E-2,-6.810099632E-2,-6.810099632E-2,9.534200281E-2,1.355196993E-1
5.985472300E-2,-6.810099632E-2,-8.172199875E-2,6.810099632E-2,1.263090515E-1
6.484057000E-2,-6.810099632E-2,-6.810099632E-2,8.172199875E-2,1.263090515E-1
6.982617000E-2,-5.448099971E-2,-6.810099632E-2,8.172199875E-2,1.195174050E-1
7.481224700E-2,-8.172199875E-2,-6.810099632E-2,8.172199875E-2,1.341443844E-1
7.979776100E-2,-1.330500003E-2,-2.692499943E-2,8.219899982E-2,8.751373716E-2
8.478368500E-2,-2.370199934E-2,-2.370199934E-2,9.568499774E-2,1.013863321E-1
8.976945400E-2,-2.484500036E-2,-2.484500036E-2,1.092920005E-1,1.148010865E-1
9.475528600E-2,-6.241400167E-2,-7.603400201E-2,1.225859970E-1,1.571750735E-1
9.974113200E-2,-6.753200293E-2,-8.115299791E-2,8.172199875E-2,1.335097958E-1
1.047267470E-1,-6.804399937E-2,-6.804399937E-2,1.089619994E-1,1.453708672E-1
1.097125210E-1,3.150000121E-4,-2.692499943E-2,1.366800070E-1,1.393071395E-1
1.146983670E-1,-6.125900149E-2,-6.125900149E-2,1.498280019E-1,1.730715478E-1
1.196839770E-1,-6.741700321E-2,-6.741700321E-2,1.634439975E-1,1.892195681E-1
1.246698230E-1,-9.522800148E-2,-8.160299808E-2,1.498229951E-1,1.953825770E-1
1.296555930E-1,-8.157999814E-2,-6.799600273E-2,9.534200281E-2,1.427194800E-1
1.346415160E-1,-9.510300308E-2,-9.518399835E-2,1.362030059E-1,1.914571324E-1
1.396273620E-1,-8.147700131E-2,-1.087519974E-1,1.634439975E-1,2.125545553E-1
1.446131310E-1,-6.786099821E-2,-9.512700140E-2,1.770640016E-1,2.121459925E-1
1.495989820E-1,-8.144000173E-2,-6.797999889E-2,2.043049932E-1,2.302048747E-1
1.545845980E-1,-9.501499683E-2,-8.170399815E-2,2.179249972E-1,2.513855552E-1
1.595703570E-1,-5.411000177E-2,-9.523800015E-2,2.043049932E-1,2.318160892E-1
1.645562030E-1,-6.768599898E-2,-1.088960022E-1,1.906840056E-1,2.297827751E-1
1.695420390E-1,-1.085029989E-1,-1.088510007E-1,1.770640016E-1,2.344634338E-1
1.745276550E-1,-8.117499948E-2,-9.522499889E-2,1.770640016E-1,2.168152246E-1
1.795135010E-1,-6.750900298E-2,-9.527099878E-2,2.043049932E-1,2.353179953E-1
1.844993470E-1,-8.118099719E-2,-1.089410037E-1,1.906840056E-1,2.341343345E-1
1.894851930E-1,-8.115000278E-2,-9.532500058E-2,1.906840056E-1,2.281064854E-1
1.944709530E-1,-5.386999995E-2,-9.522800148E-2,1.498229951E-1,1.855189452E-1
