"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.793480100E-2,-1.170000061E-1,2.220000178E-1,9.853050232E0,9.856245324E0
4.293541600E-2,-1.189500093E-1,2.340000123E-1,9.934050560E0,9.937518082E0
4.793857000E-2,-1.000500023E-1,2.250000089E-1,9.916950226E0,9.920006895E0
5.294164700E-2,-1.020000055E-1,2.290500104E-1,9.924000740E0,9.927167703E0
5.794503200E-2,-1.099500060E-1,2.370000184E-1,9.928950310E0,9.932387038E0
6.294837200E-2,-1.170000061E-1,2.200500071E-1,9.898050308E0,9.901187349E0
6.795144900E-2,-1.120500043E-1,2.290500104E-1,9.934050560E0,9.937322559E0
7.295451100E-2,-8.805000782E-2,2.130000144E-1,9.943950653E0,9.946621356E0
7.795789600E-2,-1.069500074E-1,2.149500102E-1,9.915000916E0,9.917907288E0
8.296134700E-2,-1.020000055E-1,2.340000123E-1,9.939000130E0,9.942277585E0
8.796473200E-2,-1.260000020E-1,2.220000178E-1,9.910050392E0,9.913337419E0
9.296804900E-2,-1.240500063E-1,2.530499995E-1,9.907950401E0,9.911957620E0
9.797151000E-2,-1.050000042E-1,2.370000184E-1,9.928950310E0,9.932333475E0
1.029752020E-1,-1.189500093E-1,2.100000083E-1,9.928950310E0,9.931883173E0
1.079788180E-1,-1.140000075E-1,2.130000144E-1,9.928950310E0,9.931889008E0
1.129816780E-1,-1.140000075E-1,2.170500159E-1,9.924000740E0,9.927028629E0
1.179844470E-1,-1.069500074E-1,2.220000178E-1,9.904950142E0,9.908014919E0
1.229874520E-1,-1.360500008E-1,2.389500141E-1,9.940950394E0,9.944752458E0
1.279902220E-1,-1.459500045E-1,2.100000083E-1,9.936000824E0,9.939291412E0
1.329933030E-1,-1.069500074E-1,2.029500157E-1,9.919950485E0,9.922602715E0
1.379958420E-1,-1.120500043E-1,2.320500165E-1,9.919950485E0,9.923296833E0
1.429992460E-1,-9.495000541E-2,2.220000178E-1,9.916950226E0,9.919889177E0
1.480023220E-1,-1.000500023E-1,2.130000144E-1,9.912000656E0,9.914793796E0
1.530056340E-1,-1.140000075E-1,2.320500165E-1,9.928950310E0,9.932315816E0
1.580084030E-1,-1.309500039E-1,2.100000083E-1,9.919950485E0,9.923037113E0
1.630111690E-1,-1.000500023E-1,2.100000083E-1,9.927000046E0,9.929725067E0
1.680136300E-1,-1.189500093E-1,2.370000184E-1,9.939000130E0,9.942536985E0
1.730167110E-1,-1.099500060E-1,2.370000184E-1,9.952950478E0,9.956378921E0
1.780192500E-1,-1.069500074E-1,2.250000089E-1,9.922050476E0,9.925177528E0
1.830219520E-1,-1.069500074E-1,1.909500062E-1,9.939000130E0,9.941409547E0
1.880244900E-1,-1.170000061E-1,2.029500157E-1,9.922050476E0,9.924815533E0
1.930275810E-1,-1.219500080E-1,2.269500047E-1,9.916950226E0,9.920296361E0
1.980300430E-1,-1.069500074E-1,2.130000144E-1,9.916950226E0,9.919813965E0
2.030327350E-1,-9.795000404E-2,2.250000089E-1,9.916950226E0,9.919985937E0
2.080351830E-1,-1.140000075E-1,2.269500047E-1,9.936000824E0,9.939246183E0
2.130377210E-1,-9.105000645E-2,2.220000178E-1,9.934050560E0,9.936947954E0
2.180407400E-1,-1.099500060E-1,2.290500104E-1,9.924000740E0,9.927252571E0
